Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
ուշ,ush,late,"Արդեն ուշ է, պետք է քնեմ։ [It's already late, I have to sleep.]","Adverb. Can also be used as an adjective. This is the root for the verb 'to be late', ուշանալ (ushanal).","USH' sounds like 'Whoosh!' Time went by so fast, and now I'm late.","Time, Calendar & Seasons"
ուշանալ,ushanal,to be late,"Ներողություն, որ ուշացա։ [Sorry for being late.]",Verb. Infinitive: ուշանալ (ushanal). Imperative: ուշացի՛ր (ushats'ir). Formed from the adverb ուշ (ush - late).,"USHANAL' sounds like 'Ooh, she null'. Her appointment is null and void because she is late.",Actions & Verbs
ուսուցիչ,usuts'ich',teacher,Մեր հայոց լեզվի ուսուցիչը շատ խելացի է։ [Our Armenian language teacher is very smart.],Noun. Definite form: ուսուցիչը (usuts'ich'y). Plural: ուսուցիչներ (usuts'ich'ner). Female form is ուսուցչուհի (usuts'ch'uhi).,USUTS'ICH'' sounds like 'WHO SUITS EACH?' Who suits each student with a lesson? The teacher!,Professions & Occupations
ուտել,utel,to eat,Ի՞նչ ես ուզում ուտել ճաշին։ [What do you want to eat for lunch?],Verb. Infinitive: ուտել (utel). Imperative is highly irregular: կե՛ր (ker).,UTEL' sounds like 'YOU TELL'. You tell me what you want to eat.,Food & Dining
ուրախ,urakh,happy / cheerful,Ես շատ ուրախ եմ քեզ տեսնելու համար։ [I am very happy to see you.],"Adjective. The related noun is ուրախություն (urakhut'yun - happiness, joy).",URAKH' sounds like 'YOU ROCK!'. And that makes me happy!,Emotions & Physical States
ուրբաթ,urbat',Friday,Ուրբաթ երեկոյան ընկերներիս հետ եմ հանդիպում։ [On Friday evening I meet with my friends.],"Noun. Day of the week. Unlike most other Armenian days of the week, it doesn't contain 'shab't'i'.","URBAT'' sounds like 'WHERE-BAT?' Where's the baseball bat? It's Friday, let's play!","Time, Calendar & Seasons"
ուրեմն,uremn,so,"Անձրև է գալիս, ուրեմն վերցրու քո հովանոցը։ [It's raining, so take your umbrella.]","Conjunction. Used to state a conclusion or consequence. 'Therefore, so, then'.","UREMN' sounds like 'YOU'RE MEN'. You're men, so you should know better.",General
ուրիշ,urish,other,Այս խնդիրը ուրիշ լուծում ունի։ [This problem has another solution.],"Adjective or pronoun. Means 'other', 'another', or 'different'.",URISH' sounds like 'YOU WISH'. You wish you had the other one.,Adjectives & Qualities
ուրիշ անգամ,urish angam,another time,"Հիմա ժամանակ չունեմ, եկ ուրիշ անգամ խոսենք։ [I don't have time now, let's talk another time.]",Adverbial phrase. A combination of ուրիշ (urish - other) and անգամ (angam - time/instance).,URISH ANGAM' sounds like 'YOU WISH AGAIN'. You wish you could try again another time.,"Time, Calendar & Seasons"
չարժե,ch'arzhe,not worth it,Այդքան գումար ծախսելը չարժե։ [It's not worth spending that much money.],Verb phrase. Negative form of արժե (arzhe - it is worth). The 'չ-' (ch'-) is the negative prefix.,"CH'ARZHE' sounds like 'CHARGE?' Don't charge me for that, it's not worth it!",General
չեմ ասի,ch'em asi,won't say,Ով է կերել վերջին կտոր տորթը։ - Ես չեմ ասի։ [Who ate the last piece of cake? - I won't say.],Verb phrase. Negative future/present tense of ասել (asel - to say). First person singular: 'I won't say' or 'I am not saying'.,CH'EM ASI' sounds like 'CHEM'istry. I won't say the secret chemistry formula.,Actions & Verbs
չէ՞ ասի՛,ch'e asi,won't you say?,"Ինչ լավ եղանակ է, չէ՞ ասի։ [What nice weather, won't you say?]","Interrogative phrase. A common colloquial tag question to seek agreement, like 'right?' or 'isn't it?'.","CH'E ASI' sounds like 'CHECK, a sea?' Won't you say you see the ocean?",General
չորեքշաբթի,chorek'shabt'i,Wednesday,Չորեքշաբթի մենք հավաք ենք ունենալու։ [On Wednesday we are going to have a meeting.],Noun. Literally means 'fourth day of the week' (counting from Sunday). չորս (chors - four) + շաբթի (shabt'i - week/Saturday).,"CHOREK'SHABT'I' sounds like 'CHORE-wreck-SHABBY-tea'. I have to do chores on Wednesday, which will wreck me, so I'll just have some shabby tea.","Time, Calendar & Seasons"
չորս,chors,4,Ես ունեմ չորս գիրք։ [I have four books.],Root: չորս (chors). Cardinal number. Does not change form.,"I did my ""chores"" four times today.",Numbers & Quantity
պակաս,pak'as,less,"Խնդրում եմ, մի քիչ պակաս աղ լցրու։ [Please, put a little less salt.]",Root: պակաս (pak'as). Adverb or Adjective.,"""Pack us"" less stuff; the suitcase is too heavy.",Numbers & Quantity
պահարան,paharan,wardrobe / cupboard,Իմ բոլոր շորերը պահարանում են։ [All my clothes are in the wardrobe.],Root: պահել (pahel) - to keep/store. Suffix -արան (-aran) denotes a place. Definite form: պահարանը (paharany).,"A ""pair"" of hamsters ""ran"" into the wardrobe.",Home & Furniture
պայուսակ,payusak,bag,Իմ պայուսակը շատ ծանր է։ [My bag is very heavy.],Root: պայուսակ (payusak). Definite form: պայուսակը (payusaky). Plural: պայուսակներ (payusakner).,"""Pay you, sack?"" No, I won't pay for this sack, I want a better bag.",Objects & Tools
պանիր,panir,cheese,"Առավոտյան սիրում եմ հաց ու պանիր ուտել։ [In the morning, I like to eat bread and cheese.]",Root: պանիր (panir). Definite form: պանիրը (paniry). Usually non-countable.,"Put the cheese in a ""pan near"" the stove.",Food & Dining
պապիկ,papik,grandfather,Պապիկս հետաքրքիր հեքիաթներ է պատմում։ [My grandfather tells interesting stories.],Root: պապ (pap) + diminutive suffix -իկ (-ik). Definite form: պապիկը (papiky).,"My grandfather likes to ""pop"" his cheek; it's his little qu""irk"". That's my ""papik"".",People & Family
պատմել,patmel,to tell,Կարո՞ղ ես ինձ մի պատմություն պատմել։ [Can you tell me a story?],"Infinitive: պատմել (patmel). Imperative (informal, singular): պատմի՛ր (patmir).","He had to ""pat me"" on the el-bow to get me to tell the story.",Actions & Verbs
պատուհան,patuhan,window,"Բացիր պատուհանը, խնդրում եմ, շատ շոգ է։ [Open the window, please, it's very hot.]",Root: պատ (pat) - wall. Definite form: պատուհանը (patuhany). Plural: պատուհաններ (patuhanner).,"I put a ""pot-o-honey"" on the window sill.",Home & Furniture
պատրաստել,patrastel,to prepare,Մայրիկս համեղ ընթրիք է պատրաստում։ [My mom is preparing a delicious dinner.],"Infinitive: պատրաստել (patrastel). Imperative (informal, singular): պատրաստի՛ր (patrastir). Related to the adjective պատրաստ (patrast) meaning 'ready'.","To prepare, he put the ""pot roast"" and steeled himself for dinner.",Actions & Verbs
պարզ,parz,simple,Սա շատ պարզ խնդիր է։ [This is a very simple problem.],Root: պարզ (parz). Adjective.,"It's simple, just ""parse"" the sentence.",Adjectives & Qualities
պարտականություն,partakanut'yun,duty,Յուրաքանչյուր քաղաքացի ունի իր պարտականությունները։ [Every citizen has their duties.],Root: պարտք (partk') - debt/obligation. The suffix -ություն (-ut'yun) creates an abstract noun. Definite form: պարտականությունը (partakanut'yuny).,"It's my duty to be ""part of the continuity"" plan.",General
պիցցա,pitsa,pizza,Եկեք այսօր երեկոյան պիցցա պատվիրենք։ [Let's order pizza tonight.],Loanword from Italian. Definite form: պիցցան (pitsan).,"I want a ""piece-a"" pizza.",Food & Dining
պրեզիդենտ,prezident,president,Հայաստանի պրեզիդենտը այցելեց Ֆրանսիա։ [The president of Armenia visited France.],International loanword. Definite form: պրեզիդենտը (prezidenty).,"The ""president"" is a friendly cognate.",Professions & Occupations
ջերմություն,jermut'yun,fever,Երեխան բարձր ջերմություն ունի։ [The child has a high fever.],Root: ջերմ (jerm) - warm. Suffix -ություն (-ut'yun) creates an abstract noun (warmth/fever). Definite: ջերմությունը (jermut'yuny).,"His fever was so high, it felt like ""German tune""-ing fork was vibrating on his head.",Health & Well-being
ջուր,jur,water,Մի բաժակ սառը ջուր կբերե՞ս։ [Will you bring a glass of cold water?],Root: ջուր (jur). Definite form: ջուրը (jury).,"Are you ""sure"" you want that much water?",Food & Dining
ռեստորան,rrestoran,restaurant,Այս ռեստորանում շատ համեղ ուտեստներ կան։ [There are very delicious dishes in this restaurant.],International loanword. Definite form: ռեստորանը (rrestorany). Plural: ռեստորաններ (rrestoranner).,"The ""rest of Ron"" is at the restaurant.",Places & Buildings
ռուբլի,rubli,rubles,Այս գիրքը հարյուր ռուբլի արժե։ [This book costs one hundred rubles.],Loanword from Russian. Usually used in the plural form.,"He will ""rub Lee's"" back for some rubles.",Numbers & Quantity
սա,sa,this (one),Սա իմ տունն է։ [This is my house.],Demonstrative pronoun for things that are close. Corresponds to the adjective այս (ays) 'this'.,"I ""saw"" this one right here.",General
սալաթ,salat',salad,Ես թեթև սալաթ եմ ուզում։ [I want a light salad.],International loanword. Definite form: սալաթը (salat'y).,"""Salad"" is an easy cognate that sounds almost the same.",Food & Dining
սառը,sarr@,cold,"Ձմռանը ջուրը շատ սառն է լինում։ [In winter, the water is very cold.]","Root: սառ (sarr). Adjective. Often becomes սառն (sarrn) before a noun starting with a vowel, e.g., սառն օդ (sarrn od) - cold air.","I'm ""sorry"" the drink is so cold.",Adjectives & Qualities
սառնարան,sarrnaran,refrigerator,Սառնարանում միրգ կա՞։ [Are there fruits in the refrigerator?],Root: սառն (sarrn - 'cold') + -արան (-aran - suffix for 'place'). Definite form: սառնարանը (sarrnaranuh).,A SARAN WRAP-ARANd the refrigerator keeps the cold in.,Home & Furniture
սառույց,sarruyts',ice,"Զգույշ, հատակին սառույց կա։ [Be careful, there is ice on the floor.]",Root: սառ (sarr - 'cold'). Definite form: սառույցը (sarruyts'uh).,I'm SORRY IT'S just a block of ice.,Nature & Environment
սար / լեռ,sar / lerr,mountain,Հայաստանում շատ բարձր սարեր կան։ [There are many high mountains in Armenia.],Noun. Definite form: սարը (saruh). Plural: սարեր (sarer). The other word for mountain is լեռ (lerr).,It's SO FAR to the top of the mountain.,Nature & Environment
սեղան,seghan,table,Ընթրիքը սեղանին է։ [The dinner is on the table.],Noun. Definite form: սեղանը (seghanuh). Plural: սեղաններ (seghanner).,"SAY, GONE are all the dishes from the table.",Home & Furniture
սենյակ,senyak,room,Իմ սենյակը շատ լուսավոր է։ [My room is very bright.],Noun. Definite form: սենյակը (senyakuh). Plural: սենյակներ (senyakner).,A SENNA YAK is sleeping in my room.,Home & Furniture
սեպտեմբեր,սեպտեմբեր,September,"Սեպտեմբերին ես գնում եմ դպրոց։ [In September, I go to school.]","Noun. An international word, easy to remember. Definite form: սեպտեմբերը (septemberuh).",Sounds almost exactly like 'September'.,"Time, Calendar & Seasons"
սիրել,sirel,to love / like,Ես սիրում եմ հայկական խոհանոցը։ [I love Armenian cuisine.],"Verb. Infinitive: սիրել (sirel). Imperative (singular, informal): սիրի՛ր (sirir).","SIR, I'LL tell you what I love.",Actions & Verbs
սիրուն,sirun,pretty,Այս ծաղիկները շատ սիրուն են։ [These flowers are very pretty.],"Adjective. Derived from the word սեր (ser), meaning 'love'.","SEE a RUNning gazelle, it's so pretty.",Adjectives & Qualities
սոված,sovats,hungry,"Ես շատ սոված եմ, եկեք ճաշենք։ [I'm very hungry, let's have lunch.]","Adjective (participle). From the noun սով (sov), meaning 'hunger'.","I feel SO VAST and empty, I must be hungry.",Emotions & Physical States
սովորաբար,sovorabar,usually,Ես սովորաբար արթնանում եմ առավոտյան ժամը ութին։ [I usually wake up at eight in the morning.],Adverb. Root: սովոր (sovor - 'habit/custom') + -աբար (-abar - adverbial suffix).,"I SOAR OVER A BAR, usually, on my way to work.",General
սովորել,sovorel,to study / learn,Նա սովորում է համալսարանում։ [She is studying at the university.],"Verb. Infinitive: սովորել (sovorel). Imperative (singular, informal): սովորի՛ր (sovorir).",SO VORACIOUSLY I study and learn.,Actions & Verbs
սունկ,sunk,mushroom,Այս անտառում շատ սունկ կա։ [There are a lot of mushrooms in this forest.],Noun. Definite form: սունկը (sunkuh). Plural: սնկեր (snker).,The mushroom SUNK the ship.,Food & Dining
սուպ,sup,soup,Ձմռանը տաք սուպ եմ սիրում։ [I like hot soup in the winter.],Noun. An international word. Definite form: սուպը (supuh).,Sounds exactly like 'soup'.,Food & Dining
սուրճ,surch,coffee,Կարո՞ղ եմ մի բաժակ սուրճ խնդրել։ [Can I have a cup of coffee?],Noun. Definite form: սուրճը (surchuh).,I have to SEARCH for a good coffee.,Food & Dining
սպիտակ,spitak,white,Նրա մեքենան սպիտակ է։ [His car is white.],Adjective. Does not change for plural nouns.,"Don't SPIT A CAT, it will turn white with fright.",Adjectives & Qualities
սպորտ,sport,sport,Ֆուտբոլն իմ սիրած սպորտն է։ [Football is my favorite sport.],Noun. An international word. Definite form: սպորտը (sportuh).,Sounds exactly like 'sport'.,General
սպորտսմեն,sports'men,sportsman,Նա պրոֆեսիոնալ սպորտսմեն է։ [He is a professional sportsman.],Noun. An international word. Plural: սպորտսմեններ (sports'menner).,Sounds like 'sportsman'.,Professions & Occupations
ստանալ,stanal,to get,Ծննդյանս օրը շատ նվերներ ստացա։ [I got a lot of presents for my birthday.],"Verb. Infinitive: ստանալ (stanal). Imperative (singular, informal): ստացի՛ր (stats'ir).",I STAND TALL when I get an award.,Actions & Verbs
սրանք,srank',these,Սրանք իմ ամենասիրելի գրքերն են։ [These are my most favorite books.],Demonstrative pronoun. Plural form of սա (sa - 'this').,"SIR, ANKLE deep are these puddles.",General
սրճարան,srcharan,cafe,Ամեն օր ընկերներիս հետ հանդիպում եմ սրճարանում։ [Every day I meet my friends at the cafe.],Noun. Compound word from սուրճ (surch - 'coffee') + -արան (-aran - 'place'). Definite form: սրճարանը (srcharanuh).,I did a SEARCH AROUND for a nice cafe.,Places & Buildings
սփյուռքահայ,sp'yurrk'ahay,diasporan Armenian,"Իմ ընկերը սփյուռքահայ է, նա ծնվել է Ֆրանսիայում։ [My friend is a diasporan Armenian, he was born in France.]",Compound noun: սփյուռք (sp'yurrk' - diaspora) + հայ (hay - Armenian). The plural is սփյուռքահայեր (sp'yurrk'ahayer).,He **speaks** with a **hay**-like accent because he's a diasporan Armenian.,People & Family
սև,sev,black,Նա միշտ սև հագուստ է հագնում։ [She always wears black clothes.],Adjective. Root: սև (sev). It does not change for plural nouns.,I **save** my black clothes for special occasions.,Adjectives & Qualities
վաթսուն,vats'un,60,Իմ պապիկը վաթսուն տարեկան է։ [My grandfather is sixty years old.],"Cardinal number. Root: վեց (vets' - six), related to the '6' in '60'.","""**What soon**?"" he asked, as he turned 60 and couldn't hear well.",Numbers & Quantity
վաղը,vagh@,tomorrow,Վաղը ես պետք է գնամ բժշկի։ [Tomorrow I have to go to the doctor.],"Adverb of time. Root: վաղ (vagh - early). The -ը ending makes it specific, 'the morrow'.",I'm **vague** about my plans for tomorrow.,"Time, Calendar & Seasons"
վաղը չէ մյուս օրը,vagh@ ch'e myus or@,day after tomorrow,"Հանդիպումը վաղը չէ, մյուս օրն է։ [The meeting is not tomorrow, it's the day after tomorrow.]","Phrase. Literally 'tomorrow is not, the other day'. Components: վաղը (tomorrow) + չէ (is not) + մյուս (other) + օրը (the day).","It's **vague** when the **che**cks will arrive, maybe the **myus** (other) day.","Time, Calendar & Seasons"
վաճառել,vacharrrel,to sell,Նրանք ուզում են իրենց հին տունը վաճառել։ [They want to sell their old house.],Verb. Infinitive: վաճառել (vacharrrel). Imperative: վաճառի՛ր (vacharrrir).,I have to **sell** my **watch** or **char**coal.,Actions & Verbs
վաճառող,vacharrrogh,seller,Այս խանութի վաճառողը շատ բարի է։ [The seller in this store is very kind.],"Noun, derived from the verb վաճառել (to sell). The -ող (-ogh) suffix often indicates a person who does the action. Definite: վաճառողը (vacharrrogh@).",The **watch-a-rogue** is a seller of fake watches.,Professions & Occupations
վայրկյան,vayrkyan,second,"Սպասիր մեկ վայրկյան, խնդրում եմ։ [Wait one second, please.]",Noun. Definite form: վայրկյանը (vayrkyan@). Plural: վայրկյաններ (vayrkyanner).,A **vair**d (weird) **can**non fired in one second.,"Time, Calendar & Seasons"
վատ,vat,bad,Ես այսօր ինձ վատ եմ զգում։ [I feel bad today.],Adjective. Root: վատ (vat). The opposite of լավ (lav - good).,That was a **vat** of bad soup.,Adjectives & Qualities
վարդագույն,vardaguyn,pink,Նրա սիրած գույնը վարդագույնն է։ [Her favorite color is pink.],Compound adjective: վարդ (vard - rose) + գույն (guyn - color). Literally 'rose-color'.,A pink **Varda-goon** is running through the rose garden.,Adjectives & Qualities
վարորդ,varord,driver,Տաքսու վարորդը շատ արագ էր վարում։ [The taxi driver was driving very fast.],"Noun, from the verb վարել (varel - to drive). Definite: վարորդը (varord@).",The driver is a **var**y **ord**inary man.,Professions & Occupations
վերադառնալ,veradarrnal,to return,Ե՞րբ կվերադառնաս տուն։ [When will you return home?],Verb. Infinitive: վերադառնալ (veradarrnal). Imperative: վերադարձի՛ր (veradardzir). Prefix վերա- (vera-) means 're-' or 'again'.,"**Vera, darn** it, **all** the people will return soon!",Actions & Verbs
վերջ,verj,end,Ֆիլմի վերջը շատ տխուր էր։ [The end of the movie was very sad.],Noun. Definite form: վերջը (verj@). Can also be an interjection 'Վերջ!' meaning 'Stop!' or 'Enough!'.,At the **very j**uncture of the end.,General
վերցնել,verts'nel,to take,"Խնդրում եմ, վերցրու այս գիրքը։ [Please, take this book.]",Verb. Infinitive: վերցնել (verts'nel). Imperative: վերցրու՛ (verts'ru).,He will **take** the **ver**y **ts**ar's **nel**l (bell).,Actions & Verbs
վերև,verev,up,"Նայիր վերև, աստղերը շատ գեղեցիկ են։ [Look up, the stars are very beautiful.]",Adverb of place. The opposite of ներքև (nerk'ev - down).,**Vera** is looking **up** at the roof.,General
վեց,vets',6,Ես ունեմ վեց կատու։ [I have six cats.],Cardinal number. Root of վաթսուն (vats'un - sixty).,The **vets** charge six dollars for a visit.,Numbers & Quantity
վիրավորված,viravorvats,insulted / wounded,Նա վիրավորված էր քո խոսքերից։ [He was insulted by your words.],"Past participle, used as an adjective. From the verb վիրավորել (viravorel - to insult/wound).",I feel wounded after a **viral vor**tex of **vats**.,Emotions & Physical States
վստահել,vst'ahel,to trust,Դու կարող ես ինձ վստահել։ [You can trust me.],Verb. Infinitive: վստահել (vst'ahel). Imperative: վստահի՛ր (vst'ahir).,I **trust** you to dri**ve sta**ble and saf**el**y.,Actions & Verbs
տալ,tal,to give,Կարո՞ղ ես ինձ մի բաժակ ջուր տալ։ [Can you give me a glass of water?],Verb. Infinitive: տալ (tal). Imperative: տու՛ր (tur). Irregular verb.,He's too **tall** to **give** it to me easily.,Actions & Verbs
տանձ,tandz,pear,Ես սիրում եմ ուտել հյութալի տանձ։ [I like to eat juicy pears.],Noun. Definite form: տանձը (tandz@). Plural: տանձեր (tandzer).,He does a little **dance** for a pear.,Food & Dining
տասը,tas@,10,Ես ունեմ տասը մատ։ [I have ten fingers.],Root: տաս (tas). Cardinal number. Forms the base for numbers 11-19.,I have ten fingers to 'toss' a ball.,Numbers & Quantity
տասը հազար,tas@ hazar,"10,000",Այս հեռախոսն արժե տասը հազար դրամ։ [This phone costs ten thousand drams.],Compound number: տասը (ten) + հազար (thousand).,It's a 'hazard' to carry 'ten thousand' dollars.,Numbers & Quantity
տասներկու,tasnerku,12,Տարին ունի տասներկու ամիս։ [The year has twelve months.],Compound number: տասն (ten) + երկու (two).,Toss an air-coo'kie twelve times.,Numbers & Quantity
տասնինը,tasninn@,19,Իմ քույրը տասնինը տարեկան է։ [My sister is nineteen years old.],Compound number: տասն (ten) + ինը (nine).,Toss nine' pennies when you are nineteen.,Numbers & Quantity
տասնմեկ,tasnmek,11,Ֆուտբոլային թիմում կա տասնմեկ խաղացող։ [There are eleven players in a football team.],Compound number: տասն (ten) + մեկ (one).,"At eleven, he 'tossed milk' all over the place.",Numbers & Quantity
տասնչորս,tasnch'ors,14,"Վաղը իմ ծննդյան օրն է, դառնում եմ տասնչորս տարեկան։ [Tomorrow is my birthday, I'm turning fourteen.]",Compound number: տասն (ten) + չորս (four).,He 'tossed chores' aside on his fourteenth birthday.,Numbers & Quantity
տասնվեց,tasnvets',16,"Նա մեքենա վարելու իրավունք կստանա, երբ դառնա տասնվեց տարեկան։ [She will get her driver's license when she turns sixteen.]",Compound number: տասն (ten) + վեց (six).,"For my sixteenth birthday, I want 'tossed vets'-ables (vegetables).",Numbers & Quantity
տատիկ,tatik,grandmother,Իմ տատիկը շատ համեղ տոլմա է պատրաստում։ [My grandmother makes very delicious dolma.],"Root: տատ (tat). Definite form: տատիկը (tatik@). A diminutive, affectionate form of տատ (tat).","My grandmother gives me a gentle pat-pat, she is my 'tatik'.",People & Family
տարբեր,tarber,different,"Մենք ունենք տարբեր կարծիքներ, բայց մենք ընկերներ ենք։ [We have different opinions, but we are friends.]",Root: տարբեր (tarber). Adjective. Does not decline for number or case when used before a noun.,The bears at the 'tar pit are different'.,Adjectives & Qualities
տարի,tari,year,Մեկ տարին ունի տասներկու ամիս։ [One year has twelve months.],Noun. Root: տար (tar). Definite form: տարին (tarin). Plural: տարիներ (tariner).,Driving my car for a 'year' put a lot of 'tar' on 'it'.,"Time, Calendar & Seasons"
տաք,tak',hot,"Զգույշ, սուրճը շատ տաք է։ [Be careful, the coffee is very hot.]",Root: տաք (tak'). Adjective.,Don't step on that 'hot tack'.,Adjectives & Qualities
տաքսի,tak'si,taxi,Կարո՞ղ ենք տաքսիով գնալ օդանավակայան։ [Can we go to the airport by taxi?],Noun. International loanword. Definite form: տաքսին (tak'sin).,"It's a 'taxi', sounds almost the same!",Travel & Transportation
տաքսի պատվիրել,tak'si pat'virel,order a taxi,Ես պետք է հիմա տաքսի պատվիրեմ։ [I need to order a taxi now.],Verb phrase. Infinitive: պատվիրել (patvirel). Imperative: պատվիրի՛ր (patvirir).,"To 'order a taxi', I'll ask the driver to 'pat a viral' star.",Travel & Transportation
տաքսին կգա հինգ րոպեից,tak'sin kga hing ropeyits',taxi in 5 minutes,"Մի՛ անհանգստացիր, տաքսին կգա հինգ րոպեից։ [Don't worry, the taxi will come in five minutes.]","Phrase. կգա (kga) is the future tense of գալ (gal - to come). րոպեից (ropeyits') is the ablative case, meaning 'from (a point in) time'.","The 'taxi will come in 5 minutes', so we 'k'ga' (can go) soon.",Travel & Transportation
տեղափոխվել,teghap'okhvel,to move place,Մեր ընտանիքը տեղափոխվել է նոր բնակարան։ [Our family has moved to a new apartment.],Verb. Infinitive: տեղափոխվել (teghap'okhvel). Imperative: տեղափոխվի՛ր (teghap'okhvir). From տեղ (tegh - place) and փոխել (p'okhel - to change).,"To 'move place', I had to 'take a fox well' with me.",Actions & Verbs
տեսնել,tesnel,to see,Ես ուզում եմ տեսնել Արարատ լեռը։ [I want to see Mount Ararat.],Verb. Infinitive: տեսնել (tesnel). Imperative: տե՛ս (tes).,I can 'see' you're having a 'tense nail'-biting moment.,Actions & Verbs
տետր,tetr,notebook,Գրի՛ր այս բառերը քո տետրի մեջ։ [Write these words in your notebook.],Noun. Root: տետր (tetr). Definite form: տետրը (tetr@). Plural: տետրեր (tetrer).,I used to play 'Tetris' in my school 'notebook'.,Objects & Tools
տխուր,tkhur,sad,"Նա տխուր էր, որովհետև նրա ընկերը գնացել էր։ [He was sad because his friend had left.]",Adjective. Root: տխուր (tkhur).,"I'm so 'sad', I could just say 't'curse' this day!",Emotions & Physical States
տղա,tgha,boy / son,Այգում մի տղա ֆուտբոլ է խաղում։ [A boy is playing football in the park.],Noun. Definite form: տղան (tghan). Plural: տղաներ (tghaner).,That young 'boy' is wearing a Roman 'toga'.,People & Family
տնօրեն,tnoren,director,Դպրոցի տնօրենը խոսում էր աշակերտների հետ։ [The school director was talking to the students.],"Noun. From տուն (tun - house) + օրենք (orenk' - law/rule), literally 'ruler of the house'. Definite form: տնօրենը (tnoren@).",The 'director' had a 'ton of rain' fall on his parade.,Professions & Occupations
տոնել,tonel,to celebrate,Այսօր ծնունդս եմ տոնելու ընկերներիս հետ։ [Today I'm going to celebrate my birthday with my friends.],"Verb. Infinitive: տոնել (tonel). Imperative: տոնի՛ր (tonir). From the root word տոն (ton), which means 'holiday' or 'festival'.",Let's set the TONE ALL happy to celebrate!,Actions & Verbs
տուն,tun,house / home,"Երեկոյան ես միշտ շտապում եմ տուն։ [In the evening, I always hurry home.]",Noun. Root: տուն (tun). Definite form: տունը (tun@). The locative case 'at home' is տանը (tan@).,My home is playing a catchy TUNE.,Home & Furniture
րոպե,rope,minute,"Խնդրում եմ, սպասիր ընդամենը հինգ րոպե։ [Please, wait just five minutes.]",Noun. Root: րոպե (rope). Plural: րոպեներ (ropener).,I can climb the ROPE in one minute.,"Time, Calendar & Seasons"
ցատկել,ts'atkel,to jump,Երեխաները ուրախ-ուրախ ցատկում են։ [The children are jumping happily.],Verb. Infinitive: ցատկել (ts'atkel). Imperative: ցատկի՛ր (ts'atkir).,The CAT KILLED it when it had to jump.,Actions & Verbs
ցեխ,ts'ekh,mud,"Անձրևից հետո ամեն տեղ ցեխ էր։ [After the rain, there was mud everywhere.]",Noun. Root: ցեխ (ts'ekh). Definite form: ցեխը (ts'ekh@).,My expensive CHECK shirt is now covered in mud.,Nature & Environment
ցերեկ,ts'erek,daytime,"Ցերեկը ես աշխատանքի եմ գնում։ [During the daytime, I go to work.]",Noun/Adverb. Root: ցերեկ (ts'erek). Often contrasted with գիշեր (gisher) - 'night'.,I can only see the SEA WRECK during the daytime.,"Time, Calendar & Seasons"
ցնցուղ ընդունել,ts'nts'ugh @ndunel,take a shower,Ամեն առավոտ ես ցնցուղ եմ ընդունում։ [Every morning I take a shower.],"Verb Phrase. The noun is ցնցուղ (ts'nts'ugh), 'shower'. The verb is ընդունել (@ndunel), 'to accept/take'.",I CHIN-CHUG a lot of water when I take a shower.,Actions & Verbs
ցուրտ,ts'urt,cold,"Ձմռանը Հայաստանում շատ ցուրտ է լինում։ [In winter, it is very cold in Armenia.]",Adjective. Root: ցուրտ (ts'urt).,"It's so cold, it makes your tooth HURT.",Adjectives & Qualities
ցտեսություն,ts'tesut'yun,goodbye,"Ցտեսություն, կհանդիպենք վաղը։ [Goodbye, we'll see each other tomorrow.]","Interjection. A formal goodbye, literally means 'until seeing'. A combination of ց- (ts'-) 'until' + տես- (tes-) 'see'.",It's nice to SEE YOU SOON. Goodbye!,General
փակ,p'ak,closed,"Խնդրում եմ, ստուգեք, արդյոք դուռը փակ է։ [Please, check if the door is closed.]","Adjective. Root: փակ (p'ak). It is the past participle of the verb փակել (p'akel), 'to close'.",You have to PACK your bags before the door is closed for boarding.,Adjectives & Qualities
փակել,p'akel,close,Մի՛ մոռացիր փակել լուսամուտը։ [Don't forget to close the window.],Verb. Infinitive: փակել (p'akel). Imperative: փակի՛ր (p'akir).,PACK ALL your things and close the door.,Actions & Verbs
փափուկ,p'ap'uk,soft,Այս բարձը շատ փափուկ է։ [This pillow is very soft.],Adjective. Root: փափուկ (p'ap'uk).,My PUPPY is so soft.,Adjectives & Qualities
փետրվար,p'et'rvar,February,Փետրվարը տարվա ամենակարճ ամիսն է։ [February is the shortest month of the year.],Noun. Root: փետրվար (p'et'rvar). One of the 12 months.,"In February, I'll PET a VULTURE.","Time, Calendar & Seasons"
փիղ,p'igh,elephant,Կենդանաբանական այգում մեծ փիղ տեսանք։ [We saw a big elephant at the zoo.],Noun. Root: փիղ (p'igh). Plural: փղեր (p'gher).,I'll give a FIG to the elephant.,Animals
փնտրել,p'ntrel,to search,Ես իմ բանալիներն եմ փնտրում։ [I am searching for my keys.],Verb. Infinitive: փնտրել (p'ntrel). Imperative: փնտրի՛ր (p'ntrir).,I search for a good printer until I can PRINT REAL copies.,Actions & Verbs
փող,p'ogh,money,Ես բավականաչափ փող չունեմ այս գիրքը գնելու համար։ [I don't have enough money to buy this book.],Noun. Root: փող (p'ogh). The word for 'change' (coins) is մանր (manr).,It costs a lot of money to buy a POG collection.,General
